,City_1,City_2,City_3,City_4,City_5,City_6,City_7,City_8,City_9,City_10,City_11
City_1,0,485,398,320,156,121,238,70,152,171,264
City_2,485,0,422,149,409,201,180,199,358,307,393
City_3,398,422,0,241,493,326,210,363,71,302,285
City_4,320,149,241,0,237,320,239,495,224,495,100
City_5,156,409,493,237,0,356,184,70,378,216,323
City_6,121,201,326,320,356,0,395,102,435,389,141
City_7,238,180,210,239,184,395,0,130,469,99,409
City_8,70,199,363,495,70,102,130,0,451,267,93
City_9,152,358,71,224,378,435,469,451,0,239,345
City_10,171,307,302,495,216,389,99,267,239,0,237
City_11,264,393,285,100,323,141,409,93,345,237,0
