,City_1,City_2,City_3,City_4,City_5,City_6,City_7,City_8,City_9,City_10,City_11,City_12,City_13,City_14,City_15,City_16,City_17,City_18,City_19,City_20,City_21,City_22,City_23,City_24,City_25,City_26,City_27,City_28,City_29,City_30,City_31,City_32,City_33,City_34,City_35,City_36,City_37,City_38,City_39,City_40,City_41,City_42,City_43,City_44,City_45,City_46,City_47,City_48
City_1,0,385,402,342,118,762,37,615,126,143,589,234,757,116,133,658,67,93,564,962,244,131,429,359,866,273,440,628,228,88,837,843,471,22,360,59,342,616,579,524,977,196,155,893,119,400,880,200
City_2,385,0,233,650,882,431,310,608,700,919,126,857,596,863,438,846,414,810,737,166,504,291,431,785,178,200,602,385,391,174,740,410,802,275,264,379,991,970,987,149,575,206,377,715,557,454,844,325
City_3,402,233,0,533,71,960,905,765,324,76,965,362,535,87,159,681,493,635,509,374,23,927,279,775,242,282,285,107,34,487,909,218,160,458,559,826,421,977,898,862,887,648,119,213,835,513,36,665
City_4,342,650,533,0,291,335,316,429,321,453,788,439,945,405,999,856,946,923,881,506,80,341,904,786,992,343,832,839,667,108,986,161,432,384,339,360,952,651,516,500,397,444,492,904,782,979,78,513
City_5,118,882,71,291,0,242,218,572,907,990,96,480,685,510,655,517,155,801,448,783,277,779,701,226,460,491,595,501,535,37,108,770,235,217,629,582,377,150,678,834,577,973,951,550,495,706,970,523
City_6,762,431,960,335,242,0,112,479,926,919,577,654,462,207,427,301,815,461,642,527,279,631,738,361,975,522,452,332,875,632,920,345,132,332,592,669,214,693,89,656,413,227,271,560,342,30,760,791
City_7,37,310,905,316,218,112,0,325,875,873,685,421,206,214,321,30,156,777,301,375,599,647,341,539,474,887,245,699,998,240,442,921,157,188,509,344,526,235,764,425,621,838,952,64,624,359,357,403
City_8,615,608,765,429,572,479,325,0,850,944,649,612,772,258,172,146,163,965,484,659,514,616,767,771,238,905,536,169,564,443,405,886,126,486,635,878,379,439,590,954,789,508,456,933,193,810,530,73
City_9,126,700,324,321,907,926,875,850,0,875,521,871,906,354,49,39,313,21,153,381,101,695,609,45,629,649,497,474,462,433,613,425,164,306,459,484,178,32,622,487,420,112,570,374,539,638,185,34
City_10,143,919,76,453,990,919,873,944,875,0,912,381,101,569,242,423,462,26,888,603,865,261,866,986,244,583,885,279,148,124,658,146,353,626,185,645,584,871,790,513,244,546,534,879,386,258,692,998
City_11,589,126,965,788,96,577,685,649,521,912,0,126,751,866,131,553,178,719,872,819,90,756,411,609,209,268,236,243,47,341,36,494,917,155,313,423,787,900,211,760,908,424,109,306,231,857,133,418
